序号,标题,URL,播放量,弹幕数,上传时间,UP主
1,[小甲鱼]零基础入门学习Python,//www.bilibili.com/video/BV1xs411Q799?from=search,1526.1,28.8,2016/3/9,IT搬運工
2,黑马程序员Python教程_600集Python从入门到精通教程（懂中文就能学会）,//www.bilibili.com/video/BV1ex411x7Em?from=search,935.4,17.2,2017/9/5,黑马程序员
3,花了2多买的Python教程全套现在分享给大家入门到精通(Python全栈开发教程),//www.bilibili.com/video/BV1wD4y1o7AS?from=search,645.7,9,2020/9/7,Python_子木
4,【Python教程】《零基础入门学习Python》最新版,//www.bilibili.com/video/BV1c4411e77t?from=search,219.9,3.5,2019/5/11,鱼C-小甲鱼
5,千锋教育Python教程_700集零基础Python入门到精通教程（保姆级新手教程）,//www.bilibili.com/video/BV1R7411F7JV?from=search,217.5,4.6,2020/2/22,千锋教育python学院
6,【Python教程】《零基础入门学习Python》,//www.bilibili.com/video/BV1Fs411A7HZ?from=search,214,5.6,2018/7/26,鱼C-小甲鱼
7,Python爬虫基础5天速成（2021全新合集）Python入门+数据可视化,//www.bilibili.com/video/BV12E411A7ZQ?from=search,200.5,4.2,2020/3/21,IT私塾
8,求知讲堂2020python+人工智能 99天完整版 学完可就业,//www.bilibili.com/video/BV1vA411b7Rn?from=search,176.4,6,2020/4/15,求知讲堂
9,千锋教育Python教程全套_python零基础入门到精通（学完可达到Python工程师水平）,//www.bilibili.com/video/BV1qK411n7gQ?from=search,104.1,3.7,2020/7/3,千锋教育python学院
10,全新Python入门/Python自学/PYTHON3/Python从入门到精通,//www.bilibili.com/video/BV1bt411g7sW?from=search,84.2,2.9,2019/7/17,传智博学谷
11,清华大佬终于把Python讲的如此清新脱俗！保姆级教程从入门到精通,//www.bilibili.com/video/BV1ap4y1t7Hj?from=search,83.6,3910,2021/4/11,Python宝库
12,这是python吗？,//www.bilibili.com/video/BV1qV411n7jS?from=search,74.2,316,2021/4/7,胖墩GAGA
13,为什么我不推荐学Python去找工作?为什么只会Python很难找到工作?在职程序员聊聊Python岗位的一些情况|视频教程,//www.bilibili.com/video/BV1vt411n7WX?from=search,73.7,1800,2019/7/25,CodeSheep
14,Python编程从入门到实践（第2版）演示视频-已获出版社授权,//www.bilibili.com/video/BV19t411m7uU?from=search,72.1,276,2018/11/10,Master_lisa
15,【莫烦Python】Numpy &amp; Pandas (数据处理教程),//www.bilibili.com/video/BV1Ex411L7oT?from=search,62.4,8340,2017/11/16,莫烦Python
16,黑马程序员Python入门教程_适合零基础自学的Python教程,//www.bilibili.com/video/BV1o4411M71o?from=search,60.8,2.5,2019/6/6,黑马程序员
